transaction_id,line_no,sku,quantity,regular_price,sale_price,unit_cost,promotion
T0000027,2,PRE-005,2,6.00,6.00,1.8000,
T0000028,1,PRE-001,1,10.00,10.00,3.2000,
T0000029,1,TIN-001,1,50.00,50.00,18.0000,
T0000029,2,ACC-004,1,2.00,2.00,0.4000,
T0000030,1,TOP-001,1,35.00,35.00,12.0000,
T0000030,2,EDI-002,2,22.00,22.00,7.0000,
T0000031,1,EDI-004,1,25.00,25.00,7.5000,
T0000031,2,PRE-001,1,10.00,10.00,3.2000,
T0000031,3,EDI-006,1,8.00,8.00,3.0000,
T0000032,1,ACC-004,1,2.00,2.00,0.4000,
T0000032,2,FLO-008,1,32.00,32.00,13.5000,
T0000032,3,PRE-005,1,6.00,6.00,1.8000,
T0000033,1,EDI-002,1,22.00,22.00,7.0000,
T0000034,1,VAP-006,1,15.00,15.00,4.0000,
T0000034,2,PRE-005,1,6.00,6.00,1.8000,
T0000035,1,VAP-006,2,15.00,15.00,4.0000,
T0000035,2,VAP-005,1,28.00,28.00,9.0000,
T0000036,1,PRE-004,2,35.00,35.00,12.0000,
T0000037,1,VAP-003,1,32.00,32.00,12.0000,
T0000037,2,EDI-004,2,25.00,25.00,7.5000,
T0000038,1,FLO-001,1,35.00,35.00,14.0000,
T0000038,2,CON-003,1,30.00,30.00,12.0000,
T0000038,3,VAP-003,1,32.00,32.00,12.0000,
T0000038,4,EDI-003,1,20.00,18.00,6.5000,
T0000039,1,ACC-004,1,2.00,2.00,0.4000,
T0000040,1,EDI-006,1,8.00,8.00,3.0000,
T0000041,1,FLO-001,1,35.00,35.00,14.0000,
T0000042,1,FLO-002,1,40.00,40.00,16.0000,
T0000043,1,EDI-003,1,20.00,20.00,6.5000,
T0000044,1,TOP-002,1,24.00,24.00,9.0000,
T0000044,2,FLO-005,1,38.00,38.00,15.5000,
T0000045,1,EDI-006,1,8.00,8.00,3.0000,
T0000045,2,PRE-005,2,6.00,6.00,1.8000,
T0000046,1,EDI-002,2,22.00,22.00,7.0000,
T0000046,2,FLO-001,1,35.00,35.00,14.0000,
T0000047,1,ACC-002,1,3.00,3.00,0.6000,
T0000047,2,ACC-004,1,2.00,2.00,0.4000,
T0000048,1,PRE-003,1,18.00,18.00,6.0000,
T0000049,1,VAP-002,1,40.00,40.00,14.0000,
T0000050,1,VAP-005,3,28.00,22.40,9.0000,
T0000050,2,VAP-004,1,60.00,60.00,24.0000,
T0000050,3,PRE-001,2,10.00,10.00,3.2000,
T0000051,1,VAP-001,1,55.00,55.00,22.0000,
T0000051,2,FLO-002,1,40.00,40.00,16.0000,
T0000051,3,FLO-004,1,38.00,38.00,15.0000,
T0000051,4,FLO-001,2,35.00,31.50,14.0000,
T0000051,5,FLO-005,1,38.00,38.00,15.5000,
T0000052,1,FLO-005,1,38.00,38.00,15.5000,
T0000053,1,FLO-002,1,40.00,40.00,16.0000,
T0000053,2,ACC-001,2,20.00,20.00,5.0000,
T0000053,3,VAP-006,1,15.00,15.00,4.0000,
T0000053,4,FLO-007,2,32.00,32.00,13.0000,
T0000054,1,PRE-001,1,10.00,8.00,3.2000,
T0000055,1,FLO-008,1,32.00,32.00,13.5000,
T0000056,1,PRE-005,1,6.00,6.00,1.8000,
T0000057,1,VAP-003,1,32.00,32.00,12.0000,
T0000058,1,TOP-001,1,35.00,35.00,12.0000,
T0000059,1,CON-003,1,30.00,30.00,12.0000,
T0000059,2,FLO-004,2,38.00,38.00,15.0000,
T0000059,3,VAP-002,1,40.00,40.00,14.0000,
T0000060,1,VAP-002,1,40.00,32.00,14.0000,
T0000060,2,EDI-001,1,20.00,20.00,6.0000,
T0000060,3,EDI-007,1,18.00,18.00,6.0000,
T0000061,1,PRE-003,1,18.00,18.00,6.0000,
T0000061,3,PRE-005,3,6.00,6.00,1.8000,
T0000062,1,ACC-004,1,2.00,2.00,0.4000,
T0000063,1,VAP-005,1,28.00,28.00,9.0000,
T0000063,2,PRE-001,2,10.00,10.00,3.2000,
T0000064,1,PRE-005,1,6.00,6.00,1.8000,
T0000064,2,CON-002,1,45.00,45.00,18.0000,
T0000064,3,VAP-002,1,40.00,40.00,14.0000,
T0000065,1,PRE-005,2,6.00,6.00,1.8000,
T0000066,1,EDI-004,1,25.00,25.00,7.5000,
T0000066,2,VAP-003,1,32.00,32.00,12.0000,
T0000066,3,PRE-001,2,10.00,10.00,3.2000,
T0000066,4,VAP-006,1,15.00,13.50,4.0000,
T0000067,1,VAP-001,1,55.00,49.50,22.0000,
T0000068,1,EDI-006,1,8.00,8.00,3.0000,
T0000069,1,EDI-005,2,14.00,14.00,4.0000,
T0000069,2,FLO-005,1,38.00,38.00,15.5000,
T0000070,1,PRE-003,1,18.00,18.00,6.0000,
T0000070,2,FLO-008,1,32.00,32.00,13.5000,
T0000071,1,FLO-001,1,35.00,35.00,14.0000,
T0000071,2,FLO-002,1,40.00,40.00,16.0000,
T0000072,1,VAP-005,1,28.00,28.00,9.0000,
T0000073,1,FLO-005,1,38.00,38.00,15.5000,
T0000074,1,FLO-003,1,70.00,70.00,28.0000,
T0000075,1,PRE-005,1,6.00,6.00,1.8000,
T0000075,2,VAP-002,1,40.00,36.00,14.0000,
T0000076,1,VAP-001,1,55.00,55.00,22.0000,
T0000076,2,TIN-001,1,50.00,50.00,18.0000,
T0000076,3,EDI-002,1,22.00,22.00,7.0000,
T0000077,1,EDI-003,1,20.00,16.00,6.5000,
T0000077,2,VAP-002,1,40.00,40.00,14.0000,
T0000077,3,ACC-004,1,2.00,1.60,0.4000,
T0000077,4,FLO-004,1,38.00,30.40,15.0000,
T0000077,5,PRE-005,1,6.00,6.00,1.8000,
T0000078,1,PRE-002,2,10.00,9.00,3.4000,
T0000079,1,ACC-002,1,3.00,2.40,0.6000,
T0000079,2,ACC-004,1,2.00,2.00,0.4000,
T0000079,3,FLO-003,2,70.00,56.00,28.0000,
T0000079,4,VAP-006,1,15.00,15.00,4.0000,
T0000080,1,PRE-002,1,10.00,10.00,3.4000,
T0000080,2,VAP-005,1,28.00,28.00,9.0000,
T0000080,3,ACC-002,1,3.00,3.00,0.6000,
T0000080,4,FLO-008,1,32.00,32.00,13.5000,
T0000080,5,EDI-002,1,22.00,22.00,7.0000,
T0000081,1,FLO-002,2,40.00,32.00,16.0000,
T0000082,1,ACC-001,2,20.00,20.00,5.0000,
T0000082,2,FLO-004,1,38.00,38.00,15.0000,
T0000083,1,EDI-001,1,20.00,20.00,6.0000,
T0000083,2,FLO-008,1,32.00,32.00,13.5000,
T0000083,3,VAP-003,1,32.00,32.00,12.0000,
T0000083,4,ACC-004,1,2.00,2.00,0.4000,
T0000084,1,PRE-003,1,18.00,18.00,6.0000,
T0000085,1,EDI-001,1,20.00,20.00,6.0000,
T0000085,2,ACC-004,1,2.00,2.00,0.4000,
T0000086,1,FLO-001,1,35.00,35.00,14.0000,
T0000086,2,VAP-001,1,55.00,55.00,22.0000,
T0000087,1,ACC-002,1,3.00,3.00,0.6000,
T0000087,2,ACC-005,2,12.00,10.80,2.5000,
T0000087,3,VAP-002,1,40.00,40.00,14.0000,
T0000087,4,EDI-002,1,22.00,22.00,7.0000,
T0000088,1,PRE-003,1,18.00,18.00,6.0000,
T0000089,1,FLO-004,1,38.00,38.00,15.0000,
T0000089,2,PRE-003,1,18.00,18.00,6.0000,
T0000090,1,VAP-002,1,40.00,40.00,14.0000,
T0000091,1,PRE-005,1,6.00,6.00,1.8000,
T0000091,2,VAP-002,1,40.00,40.00,14.0000,
T0000091,3,ACC-004,1,2.00,2.00,0.4000,
T0000091,4,CON-002,1,45.00,45.00,18.0000,
T0000092,1,ACC-002,1,3.00,3.00,0.6000,
T0000093,1,VAP-001,1,55.00,55.00,22.0000,
T0000093,2,VAP-005,1,28.00,28.00,9.0000,
T0000093,3,VAP-002,1,40.00,40.00,14.0000,
T0000093,5,EDI-001,1,20.00,20.00,6.0000,
T0000094,1,VAP-005,1,28.00,28.00,9.0000,
T0000095,1,VAP-004,1,60.00,60.00,24.0000,
T0000096,1,EDI-001,1,20.00,20.00,6.0000,
T0000097,1,PRE-002,1,10.00,10.00,3.4000,
T0000098,1,PRE-001,1,10.00,10.00,3.2000,
T0000099,1,PRE-005,2,6.00,5.40,1.8000,
T0000100,1,ACC-003,1,22.00,22.00,6.0000,
T0000101,1,EDI-006,2,8.00,8.00,3.0000,
T0000101,2,PRE-002,1,10.00,10.00,3.4000,
T0000102,1,PRE-002,3,10.00,10.00,3.4000,
T0000103,1,VAP-001,1,55.00,55.00,22.0000,
T0000103,2,PRE-002,2,10.00,10.00,3.4000,
T0000103,3,VAP-002,2,40.00,40.00,14.0000,
T0000103,4,FLO-003,2,70.00,70.00,28.0000,
T0000103,5,VAP-006,1,15.00,15.00,4.0000,
T0000104,1,EDI-003,1,20.00,20.00,6.5000,
T0000104,2,FLO-002,1,40.00,40.00,16.0000,
T0000104,3,VAP-002,1,40.00,40.00,14.0000,
T0000105,1,ACC-004,1,2.00,2.00,0.4000,
T0000106,1,PRE-005,1,6.00,6.00,1.8000,
T0000107,1,FLO-001,1,35.00,35.00,14.0000,
T0000108,1,EDI-007,1,18.00,18.00,6.0000,
T0000108,2,VAP-006,1,15.00,15.00,4.0000,
T0000109,1,EDI-005,1,14.00,11.20,4.0000,
T0000110,1,PRE-002,1,10.00,10.00,3.4000,
T0000110,2,PRE-001,1,10.00,10.00,3.2000,
T0000111,1,ACC-002,2,3.00,3.00,0.6000,
T0000112,1,FLO-005,1,38.00,38.00,15.5000,
T0000113,1,EDI-001,2,20.00,20.00,6.0000,
T0000114,1,PRE-002,1,10.00,10.00,3.4000,
T0000114,2,FLO-004,2,38.00,30.40,15.0000,
T0000114,3,FLO-002,1,40.00,32.00,16.0000,
T0000115,1,VAP-003,1,32.00,25.60,12.0000,
T0000115,2,ACC-004,1,2.00,1.60,0.4000,
T0000116,1,ACC-004,1,2.00,2.00,0.4000,
T0000117,1,PRE-005,1,6.00,6.00,1.8000,
T0000118,1,ACC-004,2,2.00,2.00,0.4000,
T0000118,2,PRE-005,1,6.00,6.00,1.8000,
T0000119,1,PRE-001,1,10.00,10.00,3.2000,
T0000119,2,PRE-004,1,35.00,35.00,12.0000,
T0000119,3,ACC-003,1,22.00,22.00,6.0000,
T0000120,1,ACC-004,2,2.00,1.60,0.4000,
T0000120,2,VAP-005,1,28.00,22.40,9.0000,
T0000121,1,CON-002,1,45.00,45.00,18.0000,
T0000121,2,PRE-003,3,18.00,18.00,6.0000,
T0000122,1,EDI-002,1,22.00,22.00,7.0000,
T0000122,2,ACC-004,1,2.00,2.00,0.4000,
T0000123,1,FLO-002,1,40.00,40.00,16.0000,
T0000123,2,FLO-004,2,38.00,38.00,15.0000,
T0000123,3,EDI-005,1,14.00,14.00,4.0000,
T0000124,1,FLO-001,2,35.00,35.00,14.0000,
T0000124,2,ACC-004,1,2.00,2.00,0.4000,
T0000124,3,PRE-001,1,10.00,10.00,3.2000,
T0000125,1,EDI-001,1,20.00,20.00,6.0000,
T0000126,1,FLO-007,1,32.00,32.00,13.0000,
T0000126,2,EDI-004,1,25.00,25.00,7.5000,
T0000126,3,FLO-004,1,38.00,38.00,15.0000,
T0000127,1,FLO-004,1,38.00,38.00,15.0000,
T0000127,2,FLO-001,1,35.00,31.50,14.0000,
T0000128,1,EDI-004,1,25.00,25.00,7.5000,
T0000128,2,EDI-002,2,22.00,22.00,7.0000,
T0000128,3,ACC-004,1,2.00,2.00,0.4000,
T0000128,4,VAP-001,1,55.00,55.00,22.0000,
T0000129,1,EDI-004,2,25.00,25.00,7.5000,
T0000130,1,VAP-003,2,32.00,32.00,12.0000,
T0000130,2,CON-001,1,75.00,75.00,32.0000,
T0000131,1,ACC-001,2,20.00,20.00,5.0000,
T0000131,2,TOP-001,1,35.00,35.00,12.0000,
T0000132,1,EDI-003,1,20.00,20.00,6.5000,
T0000133,1,PRE-001,2,10.00,10.00,3.2000,
T0000134,1,PRE-002,1,10.00,10.00,3.4000,
T0000134,2,FLO-005,1,38.00,38.00,15.5000,
T0000134,3,VAP-002,2,40.00,40.00,14.0000,
T0000134,4,FLO-004,1,38.00,38.00,15.0000,
T0000134,5,PRE-001,2,10.00,10.00,3.2000,
T0000135,1,ACC-003,2,22.00,22.00,6.0000,
T0000135,2,ACC-004,1,2.00,2.00,0.4000,
T0000135,3,VAP-003,2,32.00,32.00,12.0000,
T0000135,4,VAP-001,1,55.00,49.50,22.0000,
T0000135,5,PRE-002,1,10.00,10.00,3.4000,
T0000136,1,VAP-002,1,40.00,40.00,14.0000,
T0000136,2,VAP-003,1,32.00,32.00,12.0000,
T0000136,3,EDI-004,1,25.00,25.00,7.5000,
T0000137,1,FLO-005,1,38.00,38.00,15.5000,
T0000138,1,FLO-003,2,70.00,70.00,28.0000,
T0000139,1,PRE-002,2,10.00,10.00,3.4000,
T0000140,1,PRE-002,1,10.00,10.00,3.4000,
T0000140,2,EDI-001,1,20.00,20.00,6.0000,
T0000141,1,FLO-007,1,32.00,32.00,13.0000,
T0000141,2,PRE-001,1,10.00,10.00,3.2000,
T0000141,3,EDI-006,1,8.00,8.00,3.0000,
T0000141,4,ACC-004,1,2.00,2.00,0.4000,
T0000141,5,VAP-006,1,15.00,15.00,4.0000,
T0000142,1,FLO-005,3,38.00,34.20,15.5000,
T0000143,1,PRE-005,1,6.00,6.00,1.8000,
T0000144,1,EDI-007,1,18.00,18.00,6.0000,
T0000145,1,PRE-004,1,35.00,35.00,12.0000,
T0000146,1,TIN-002,1,45.00,45.00,16.0000,
T0000147,1,CON-002,2,45.00,45.00,18.0000,
T0000147,2,EDI-004,2,25.00,25.00,7.5000,
T0000148,1,ACC-004,1,2.00,2.00,0.4000,
T0000148,2,FLO-010,2,45.00,40.50,18.0000,
T0000148,3,EDI-003,1,20.00,20.00,6.5000,
T0000148,4,PRE-001,1,10.00,10.00,3.2000,
T0000149,1,VAP-001,1,55.00,55.00,22.0000,
T0000149,2,PRE-003,2,18.00,18.00,6.0000,
T0000150,1,PRE-005,1,6.00,6.00,1.8000,
T0000150,2,EDI-004,1,25.00,25.00,7.5000,
T0000150,3,VAP-003,1,32.00,32.00,12.0000,
T0000151,1,PRE-001,1,10.00,10.00,3.2000,
T0000152,1,EDI-001,1,20.00,20.00,6.0000,
T0000152,2,PRE-004,1,35.00,35.00,12.0000,
T0000153,1,VAP-002,1,40.00,40.00,14.0000,
T0000153,2,FLO-001,1,35.00,35.00,14.0000,
T0000153,3,EDI-002,2,22.00,17.60,7.0000,
T0000154,1,FLO-005,1,38.00,38.00,15.5000,
T0000154,2,ACC-002,1,3.00,3.00,0.6000,
T0000155,1,PRE-005,1,6.00,6.00,1.8000,
T0000156,1,VAP-003,1,32.00,32.00,12.0000,
T0000157,1,VAP-004,1,60.00,60.00,24.0000,
T0000157,2,ACC-002,1,3.00,3.00,0.6000,
T0000157,3,ACC-003,1,22.00,22.00,6.0000,
T0000158,1,PRE-001,1,10.00,10.00,3.2000,
T0000159,1,EDI-006,1,8.00,8.00,3.0000,
T0000160,1,PRE-001,1,10.00,10.00,3.2000,
T0000160,2,FLO-002,1,40.00,40.00,16.0000,
T0000161,1,ACC-002,1,3.00,3.00,0.6000,
T0000161,2,EDI-005,1,14.00,14.00,4.0000,
T0000161,3,FLO-005,1,38.00,38.00,15.5000,
T0000161,4,EDI-001,1,20.00,20.00,6.0000,
T0000162,1,VAP-002,1,40.00,40.00,14.0000,
T0000163,1,ACC-004,1,2.00,2.00,0.4000,
T0000163,2,VAP-005,1,28.00,28.00,9.0000,
T0000164,1,VAP-005,1,28.00,28.00,9.0000,
T0000164,2,FLO-007,1,32.00,28.80,13.0000,
T0000164,3,FLO-005,1,38.00,38.00,15.5000,
T0000165,1,FLO-005,1,38.00,38.00,15.5000,
T0000165,2,ACC-002,1,3.00,3.00,0.6000,
T0000165,3,FLO-006,1,120.00,120.00,52.0000,
T0000166,1,PRE-004,1,35.00,31.50,12.0000,
T0000166,2,PRE-002,1,10.00,10.00,3.4000,
T0000167,1,EDI-001,1,20.00,20.00,6.0000,
T0000168,1,PRE-005,1,6.00,6.00,1.8000,
T0000169,1,FLO-001,1,35.00,35.00,14.0000,
T0000169,2,FLO-005,1,38.00,38.00,15.5000,
T0000170,1,VAP-001,2,55.00,55.00,22.0000,
T0000170,2,EDI-007,1,18.00,16.20,6.0000,
T0000171,1,EDI-007,1,18.00,18.00,6.0000,
T0000171,2,PRE-001,1,10.00,10.00,3.2000,
T0000171,3,PRE-005,1,6.00,5.40,1.8000,
T0000172,1,EDI-001,1,20.00,20.00,6.0000,
T0000173,1,FLO-002,3,40.00,40.00,16.0000,
T0000174,1,FLO-005,1,38.00,38.00,15.5000,
T0000174,2,VAP-003,2,32.00,32.00,12.0000,
T0000174,3,PRE-001,1,10.00,10.00,3.2000,
T0000175,1,ACC-004,1,2.00,2.00,0.4000,
T0000176,1,FLO-002,3,40.00,40.00,16.0000,
T0000177,1,EDI-001,1,20.00,20.00,6.0000,
T0000177,2,VAP-005,2,28.00,28.00,9.0000,
T0000178,1,FLO-008,1,32.00,32.00,13.5000,
T0000179,1,FLO-001,1,35.00,35.00,14.0000,
T0000180,1,ACC-004,1,2.00,2.00,0.4000,
T0000180,2,FLO-005,1,38.00,38.00,15.5000,
T0000180,3,EDI-004,1,25.00,25.00,7.5000,
T0000180,4,VAP-003,1,32.00,32.00,12.0000,
T0000181,1,EDI-004,1,25.00,25.00,7.5000,
T0000181,2,ACC-002,1,3.00,3.00,0.6000,
T0000182,1,ACC-001,1,20.00,20.00,5.0000,
T0000183,1,EDI-002,2,22.00,22.00,7.0000,
T0000183,2,PRE-001,1,10.00,10.00,3.2000,
T0000183,3,PRE-002,1,10.00,10.00,3.4000,
T0000184,1,TIN-001,1,50.00,50.00,18.0000,
T0000185,1,FLO-001,1,35.00,35.00,14.0000,
T0000186,1,VAP-003,1,32.00,32.00,12.0000,
T0000186,2,CON-003,1,30.00,30.00,12.0000,
T0000186,3,EDI-002,1,22.00,17.60,7.0000,
T0000186,4,PRE-001,1,10.00,10.00,3.2000,
T0000187,1,FLO-001,1,35.00,35.00,14.0000,
T0000187,3,VAP-002,1,40.00,32.00,14.0000,
T0000188,1,ACC-002,1,3.00,3.00,0.6000,
T0000188,2,EDI-006,1,8.00,8.00,3.0000,
T0000189,1,VAP-003,1,32.00,28.80,12.0000,
T0000189,2,EDI-004,1,25.00,25.00,7.5000,
T0000189,3,ACC-002,1,3.00,3.00,0.6000,
T0000190,1,ACC-004,1,2.00,2.00,0.4000,
T0000190,2,VAP-003,1,32.00,25.60,12.0000,
T0000191,1,EDI-003,2,20.00,20.00,6.5000,
T0000191,2,EDI-005,1,14.00,14.00,4.0000,
T0000191,3,TIN-001,2,50.00,50.00,18.0000,
T0000191,4,EDI-004,1,25.00,25.00,7.5000,
T0000191,5,PRE-003,1,18.00,18.00,6.0000,
T0000192,1,VAP-005,3,28.00,28.00,9.0000,
T0000193,1,PRE-002,1,10.00,10.00,3.4000,
T0000194,1,VAP-005,1,28.00,22.40,9.0000,
T0000194,2,PRE-001,1,10.00,10.00,3.2000,
T0000194,3,VAP-006,1,15.00,15.00,4.0000,
T0000195,1,EDI-005,2,14.00,14.00,4.0000,
T0000196,1,VAP-001,2,55.00,55.00,22.0000,
T0000197,1,ACC-004,1,2.00,2.00,0.4000,
T0000198,1,FLO-005,3,38.00,38.00,15.5000,
T0000198,2,VAP-006,1,15.00,15.00,4.0000,
T0000199,1,EDI-006,1,8.00,8.00,3.0000,
T0000200,1,VAP-005,1,28.00,28.00,9.0000,
T0000200,2,ACC-004,1,2.00,2.00,0.4000,
T0000200,3,VAP-003,1,32.00,32.00,12.0000,
T0000200,4,PRE-004,1,35.00,35.00,12.0000,
T0000200,5,PRE-002,2,10.00,10.00,3.4000,
T0000201,1,PRE-003,1,18.00,18.00,6.0000,
T0000201,2,EDI-002,1,22.00,22.00,7.0000,
T0000201,3,CON-002,3,45.00,45.00,18.0000,
T0000202,1,EDI-001,1,20.00,20.00,6.0000,
T0000202,2,FLO-007,1,32.00,32.00,13.0000,
T0000203,1,FLO-003,1,70.00,70.00,28.0000,
T0000204,1,CON-003,1,30.00,30.00,12.0000,
T0000204,2,FLO-001,2,35.00,35.00,14.0000,
T0000205,1,PRE-002,1,10.00,10.00,3.4000,
T0000205,2,PRE-005,1,6.00,6.00,1.8000,
T0000206,1,FLO-001,1,35.00,35.00,14.0000,
T0000207,1,CON-001,1,75.00,75.00,32.0000,
T0000208,1,PRE-002,2,10.00,10.00,3.4000,
T0000209,1,PRE-005,1,6.00,6.00,1.8000,
T0000210,1,VAP-001,1,55.00,55.00,22.0000,
T0000211,1,FLO-005,1,38.00,34.20,15.5000,
T0000211,3,FLO-010,1,45.00,45.00,18.0000,
T0000211,4,FLO-007,2,32.00,32.00,13.0000,
T0000211,5,FLO-004,1,38.00,38.00,15.0000,
T0000212,1,VAP-002,1,40.00,40.00,14.0000,
T0000212,2,PRE-001,1,10.00,10.00,3.2000,
T0000212,3,EDI-004,1,25.00,25.00,7.5000,
T0000212,4,VAP-003,1,32.00,28.80,12.0000,
T0000212,5,CON-001,2,75.00,75.00,32.0000,
T0000213,1,EDI-007,1,18.00,18.00,6.0000,
T0000213,2,VAP-003,1,32.00,32.00,12.0000,
T0000213,3,PRE-005,3,6.00,6.00,1.8000,
T0000213,4,VAP-001,1,55.00,55.00,22.0000,
T0000214,1,ACC-002,1,3.00,3.00,0.6000,
T0000214,2,VAP-001,1,55.00,55.00,22.0000,
T0000215,1,FLO-005,1,38.00,38.00,15.5000,
T0000215,2,VAP-002,1,40.00,40.00,14.0000,
T0000216,1,EDI-003,1,20.00,20.00,6.5000,
T0000216,2,FLO-005,1,38.00,30.40,15.5000,
T0000217,1,VAP-001,1,55.00,55.00,22.0000,
T0000217,2,FLO-006,1,120.00,108.00,52.0000,
T0000218,1,ACC-002,1,3.00,3.00,0.6000,
T0000219,1,VAP-002,1,40.00,32.00,14.0000,
T0000220,1,FLO-001,1,35.00,35.00,14.0000,
T0000220,2,PRE-003,1,18.00,18.00,6.0000,
T0000220,3,PRE-005,2,6.00,6.00,1.8000,
T0000220,4,FLO-002,1,40.00,36.00,16.0000,
T0000221,1,PRE-002,1,10.00,9.00,3.4000,
T0000222,1,VAP-003,1,32.00,32.00,12.0000,
T0000222,2,FLO-001,1,35.00,35.00,14.0000,
T0000222,3,FLO-007,1,32.00,32.00,13.0000,
T0000223,1,ACC-004,1,2.00,2.00,0.4000,
T0000223,2,EDI-001,1,20.00,20.00,6.0000,
T0000224,1,ACC-002,2,3.00,3.00,0.6000,
T0000224,2,FLO-007,1,32.00,32.00,13.0000,
T0000224,3,PRE-005,1,6.00,4.80,1.8000,
T0000225,1,PRE-001,1,10.00,10.00,3.2000,
T0000225,2,FLO-002,1,40.00,40.00,16.0000,
T0000226,1,ACC-004,1,2.00,2.00,0.4000,
T0000227,1,PRE-001,1,10.00,9.00,3.2000,
T0000228,1,CON-002,1,45.00,36.00,18.0000,
T0000228,2,ACC-002,1,3.00,2.70,0.6000,
T0000228,3,FLO-005,1,38.00,30.40,15.5000,
T0000229,1,FLO-002,1,40.00,40.00,16.0000,
T0000229,2,CON-002,1,45.00,45.00,18.0000,
T0000230,1,EDI-005,2,14.00,14.00,4.0000,
T0000231,1,VAP-005,1,28.00,28.00,9.0000,
T0000231,2,FLO-003,2,70.00,70.00,28.0000,
T0000231,3,FLO-007,1,32.00,32.00,13.0000,
T0000231,5,EDI-001,1,20.00,20.00,6.0000,
T0000232,1,CON-003,2,30.00,24.00,12.0000,
T0000232,2,ACC-004,1,2.00,2.00,0.4000,
T0000233,1,VAP-003,1,32.00,32.00,12.0000,
T0000233,2,FLO-001,1,35.00,35.00,14.0000,
T0000234,1,VAP-002,1,40.00,40.00,14.0000,
T0000234,2,PRE-005,1,6.00,6.00,1.8000,
T0000234,3,EDI-006,1,8.00,8.00,3.0000,
T0000235,1,PRE-004,1,35.00,35.00,12.0000,
T0000235,2,FLO-005,1,38.00,38.00,15.5000,
T0000235,3,EDI-001,2,20.00,20.00,6.0000,
T0000236,1,CON-002,1,45.00,45.00,18.0000,
T0000236,2,FLO-007,1,32.00,32.00,13.0000,
T0000237,1,FLO-005,1,38.00,38.00,15.5000,
T0000238,1,EDI-007,1,18.00,18.00,6.0000,
T0000239,1,VAP-005,2,28.00,28.00,9.0000,
T0000240,1,CON-003,2,30.00,30.00,12.0000,
T0000240,2,VAP-003,1,32.00,32.00,12.0000,
T0000241,1,VAP-003,1,32.00,32.00,12.0000,
T0000241,2,CON-003,1,30.00,30.00,12.0000,
T0000242,1,ACC-002,2,3.00,3.00,0.6000,
T0000243,1,FLO-001,1,35.00,35.00,14.0000,
T0000244,1,PRE-003,1,18.00,18.00,6.0000,
T0000245,1,CON-004,2,55.00,55.00,22.0000,
T0000245,2,EDI-006,1,8.00,8.00,3.0000,
T0000246,1,PRE-001,1,10.00,10.00,3.2000,
T0000246,2,EDI-006,1,8.00,8.00,3.0000,
T0000246,3,EDI-004,1,25.00,22.50,7.5000,
T0000247,1,FLO-002,1,40.00,40.00,16.0000,
T0000248,1,EDI-006,2,8.00,8.00,3.0000,
